src_ip,dst_ip,protocol,length
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,8526
142.251.222.74,192.168.73.128,6,2591
192.168.73.128,142.251.222.74,6,54
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,11350
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,5702
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,4290
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,4290
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,4290
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,4290
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,4290
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,4290
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
34.107.243.93,192.168.73.128,6,191
142.251.222.74,192.168.73.128,6,5702
192.168.73.128,142.251.222.74,6,54
192.168.73.128,34.107.243.93,6,54
142.251.222.74,192.168.73.128,6,39590
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,9938
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,54409
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2179
142.251.222.74,192.168.73.128,6,4290
192.168.73.128,142.251.222.74,6,54
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,5702
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,4290
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,4290
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,4290
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,5702
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,5702
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,4290
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,4290
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,4290
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,8526
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,4290
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,4290
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,4290
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,9938
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,64293
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,64293
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,64293
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,64293
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,4986
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,4290
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,7114
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,12762
192.168.73.128,142.251.222.74,6,54
